date,amount,description,category
2024-04-07,1341338,hostel,Travel & Liburan
2024-04-07,1015679,rumah investasi,Tabungan & Investasi
2024-04-07,634970,rumah zakat,Donasi & Hadiah
2024-04-07,1814278,bantuan gempa,Donasi & Hadiah
2024-04-08,1123213,lampu motor,Transportasi
2024-04-08,1614715,pengharum ruangan,Perumahan & Akomodasi
2024-04-09,289508,masker wajah,Kesehatan & Kebugaran
2024-04-09,1987615,sayur mayur,Makanan & Minuman
2024-04-09,1699876,meja makan,Perumahan & Akomodasi
2024-04-09,910862,beras,Makanan & Minuman
2024-04-10,1532174,beli susu,Makanan & Minuman
2024-04-10,1138695,pecel lele,Makanan & Minuman
2024-04-10,1834931,training,Bisnis & Profesional
2024-04-10,1763828,tanah,Tabungan & Investasi
2024-04-10,538762,forex,Tabungan & Investasi
2024-04-10,1230107,hiking gear,Belanja & Hiburan
2024-04-10,1442596,guest house,Travel & Liburan
2024-04-10,1453846,cicilan hp,Utang & Cicilan
2024-04-11,447551,conditioner,Kesehatan & Kebugaran
2024-04-11,1822754,hard disk,Pendidikan
2024-04-11,603425,tour package,Travel & Liburan
2024-04-11,1501880,seminar,Pendidikan
2024-04-11,671886,minum jus,Makanan & Minuman
2024-04-11,1303158,insektisida,Perumahan & Akomodasi
2024-04-12,1460425,kredit konsumtif,Utang & Cicilan
2024-04-12,1509408,MLM,Tabungan & Investasi
2024-04-12,1241426,service motor,Transportasi
2024-04-12,1639823,ember plastik,Perumahan & Akomodasi
2024-04-12,1792295,taksi online,Transportasi
2024-04-12,1066860,rental motor,Transportasi
2024-04-12,621275,uang rokok,Lain-lain
2024-04-13,955870,warung franchise,Tabungan & Investasi
2024-04-13,1756373,oleh-oleh,Travel & Liburan
2024-04-13,941254,infaq,Donasi & Hadiah
2024-04-13,1850778,mini golf,Belanja & Hiburan
2024-04-13,1371401,lip balm,Kesehatan & Kebugaran
2024-04-13,563011,beli kopi,Makanan & Minuman
2024-04-13,419280,tabungan haji,Tabungan & Investasi
2024-04-13,534033,mutual fund,Tabungan & Investasi
2024-04-14,772123,travel agent,Travel & Liburan
2024-04-14,1580685,fotokopi,Lain-lain
2024-04-14,267226,kacamata,Belanja & Hiburan
2024-04-14,739670,masker wajah,Kesehatan & Kebugaran
2024-04-14,1068897,penginapan,Travel & Liburan
2024-04-15,1063115,workshop,Pendidikan
2024-04-15,1790024,kebutuhan harian,Lain-lain
2024-04-15,1520776,lazismu,Donasi & Hadiah
2024-04-15,80145,asuransi kesehatan,Tabungan & Investasi
2024-04-15,1969598,bayar gas,Perumahan & Akomodasi
2024-04-15,936107,dropship,Tabungan & Investasi
2024-04-15,1058470,pos,Lain-lain
2024-04-16,247071,rental motor,Transportasi
2024-04-16,284780,donasi panti,Donasi & Hadiah
2024-04-16,504473,serum wajah,Kesehatan & Kebugaran
2024-04-16,1743011,masker wajah,Kesehatan & Kebugaran
2024-04-16,1158361,metro mini,Transportasi
2024-04-16,1944574,lain-lain,Lain-lain
2024-04-16,1948288,lain-lain,Lain-lain
2024-04-17,1101102,BPJS,Tabungan & Investasi
2024-04-17,252588,cuci motor,Transportasi
2024-04-17,1045042,cicilan rumah,Utang & Cicilan
2024-04-17,865033,sleeping bag,Travel & Liburan
2024-04-18,1770108,designer,Bisnis & Profesional
2024-04-18,1239952,hair treatment,Kesehatan & Kebugaran
2024-04-18,1282169,angsuran bank,Utang & Cicilan
2024-04-18,1037684,minum jus,Makanan & Minuman
2024-04-18,755703,komisi,Bisnis & Profesional
2024-04-18,221608,biaya provisi,Utang & Cicilan
2024-04-18,1252758,sabun cuci piring,Perumahan & Akomodasi
2024-04-18,65554,fotokopi,Pendidikan
2024-04-18,42570,tabungan liburan,Tabungan & Investasi
2024-04-18,1562318,cuci motor,Transportasi
2024-04-19,330997,pengeluaran berkala,Lain-lain
2024-04-19,957839,stabilo,Pendidikan
2024-04-19,309772,kue ulang tahun,Makanan & Minuman
2024-04-19,492954,jaket riding,Transportasi
2024-04-19,1366998,webcam,Pendidikan
2024-04-19,758425,kontrak kerja,Bisnis & Profesional
2024-04-19,1871876,mi instan,Makanan & Minuman
2024-04-20,159121,cicilan mesin cuci,Utang & Cicilan
2024-04-20,1855643,forex,Tabungan & Investasi
2024-04-20,106156,inventory,Bisnis & Profesional
2024-04-20,1824091,sayur mayur,Makanan & Minuman
2024-04-20,1183712,stapler,Pendidikan
2024-04-21,349719,parkir mobil,Transportasi
2024-04-21,1277190,steam motor,Transportasi
2024-04-21,1101205,warung makan,Makanan & Minuman
2024-04-21,343344,mutual fund,Tabungan & Investasi
2024-04-21,172373,domain,Bisnis & Profesional
2024-04-22,650247,investasi jangka panjang,Tabungan & Investasi
2024-04-22,210655,pulpen,Pendidikan
2024-04-23,1025542,tenis,Belanja & Hiburan
2024-04-23,1300472,NPWP,Bisnis & Profesional
2024-04-23,993157,billiard,Belanja & Hiburan
2024-04-24,518575,beli buah,Makanan & Minuman
2024-04-24,1045876,beragam,Lain-lain
2024-04-24,1961507,kerja sosial,Donasi & Hadiah
2024-04-24,1437274,bayar kos,Perumahan & Akomodasi
2024-04-25,884211,ayam goreng,Makanan & Minuman
2024-04-25,1343155,face wash,Kesehatan & Kebugaran
2024-04-25,893229,pajak,Bisnis & Profesional
2024-04-25,1774538,asuransi motor,Transportasi
2024-04-25,1892802,keperluan rumah,Lain-lain
2024-04-25,893733,headset,Pendidikan
2024-04-26,411645,visa,Travel & Liburan
2024-04-26,1246990,hadiah lebaran,Donasi & Hadiah
2024-04-26,1731549,mini golf,Belanja & Hiburan
2024-04-26,1551398,trademark,Bisnis & Profesional
2024-04-26,1926056,dana pensiun,Tabungan & Investasi
2024-04-27,231699,boarding pass,Transportasi
2024-04-27,300188,kartu kredit,Utang & Cicilan
2024-04-27,939631,jasa profesional,Bisnis & Profesional
2024-04-27,1682008,coating motor,Transportasi
2024-04-27,1402396,dompet,Belanja & Hiburan
2024-04-28,1734997,tabungan umroh,Tabungan & Investasi
2024-04-28,10386,toner,Kesehatan & Kebugaran
2024-04-28,802449,BPJS,Tabungan & Investasi
2024-04-28,25284,bayar listrik,Perumahan & Akomodasi
2024-04-28,978109,minum jus,Makanan & Minuman
2024-04-28,1517891,beli lampu,Perumahan & Akomodasi
2024-04-28,238586,berlangganan streaming,Belanja & Hiburan
2024-04-29,1842342,tiket pantai,Travel & Liburan
2024-04-29,847278,beli baju,Belanja & Hiburan
2024-04-30,1050169,website,Bisnis & Profesional
2024-04-30,1481474,jam tangan,Belanja & Hiburan
2024-04-30,775795,konten kreator,Bisnis & Profesional
2024-04-30,1705166,suplemen,Kesehatan & Kebugaran
2024-04-30,1821958,KTA bank,Utang & Cicilan
2024-04-30,1650761,netflix,Belanja & Hiburan
2024-04-30,12409,transjakarta,Transportasi
2024-04-30,1681807,kebutuhan dadakan,Lain-lain
2024-04-30,960110,kebutuhan dadakan,Lain-lain
2024-04-30,790299,correction pen,Pendidikan
2024-04-30,1462973,spooring,Transportasi
2024-04-30,1017548,deposito,Tabungan & Investasi
2024-05-01,831075,parkir mobil,Transportasi
2024-05-01,42264,kredit kendaraan,Utang & Cicilan
2024-05-01,874507,facebook ads,Bisnis & Profesional
2024-05-01,1765606,biaya bandara,Transportasi
2024-05-01,1404463,sabun mandi,Kesehatan & Kebugaran
2024-05-01,1801871,USG,Kesehatan & Kebugaran
2024-05-01,85281,sofa ruang tamu,Perumahan & Akomodasi
2024-05-02,1116151,akuntan,Bisnis & Profesional
2024-05-02,23727,rumah investasi,Tabungan & Investasi
2024-05-02,277435,handuk mandi,Perumahan & Akomodasi
2024-05-03,139272,protein shake,Kesehatan & Kebugaran
2024-05-03,733139,infaq,Donasi & Hadiah
2024-05-03,1620513,sepatu gunung,Travel & Liburan
2024-05-03,1743500,solo traveling,Travel & Liburan
2024-05-03,507525,warung makan,Makanan & Minuman
2024-05-03,1917973,bakso,Makanan & Minuman
2024-05-04,1685692,kredit tanpa agunan,Utang & Cicilan
2024-05-04,501471,USG,Kesehatan & Kebugaran
2024-05-04,422245,kertas foto,Pendidikan
2024-05-04,1243029,modal usaha,Tabungan & Investasi
2024-05-04,1589182,seminar,Pendidikan
2024-05-05,1344073,arcade games,Belanja & Hiburan
2024-05-05,1750531,paper clip,Pendidikan
2024-05-05,146693,sepatu gunung,Travel & Liburan
2024-05-05,591066,klakson,Transportasi
2024-05-05,1999521,tiket gunung,Travel & Liburan
2024-05-06,1416023,cicilan elektronik,Utang & Cicilan
2024-05-06,512380,inventory,Bisnis & Profesional
2024-05-06,999881,tiket pantai,Travel & Liburan
2024-05-06,1385883,cicilan springbed,Utang & Cicilan
2024-05-06,1206077,makan siang,Makanan & Minuman
2024-05-06,1940118,promosi,Bisnis & Profesional
2024-05-07,1162713,obligasi,Tabungan & Investasi
2024-05-07,1068512,receh,Lain-lain
2024-05-07,1605371,berlangganan streaming,Belanja & Hiburan
2024-05-07,1870388,kalkulator,Pendidikan
2024-05-07,1877099,fee,Bisnis & Profesional
2024-05-07,1205483,refinancing,Utang & Cicilan
2024-05-07,1927489,bayar air,Perumahan & Akomodasi
2024-05-07,1552516,dompet,Belanja & Hiburan
2024-05-07,345498,tabungan kendaraan,Tabungan & Investasi
2024-05-07,1887408,hand sanitizer,Kesehatan & Kebugaran
2024-05-07,1297446,setor tabungan,Tabungan & Investasi
2024-05-08,148885,hadiah idul adha,Donasi & Hadiah
2024-05-08,155462,isi bensin,Transportasi
2024-05-08,169846,USG,Kesehatan & Kebugaran
2024-05-08,858008,badminton,Belanja & Hiburan
2024-05-09,1187729,cicilan laptop,Utang & Cicilan
2024-05-09,1346811,medical check up,Kesehatan & Kebugaran
2024-05-09,600439,oleh-oleh,Travel & Liburan
2024-05-09,542470,patent,Bisnis & Profesional
2024-05-09,1862729,makanan tradisional,Travel & Liburan
2024-05-10,1399458,creambath,Kesehatan & Kebugaran
2024-05-10,1755747,hal tak terduga,Lain-lain
2024-05-10,855785,guest house,Travel & Liburan
2024-05-10,779316,beli buku,Belanja & Hiburan
2024-05-10,130098,nasi gudeg,Makanan & Minuman
2024-05-10,1769833,designer,Bisnis & Profesional
2024-05-10,276340,cicilan springbed,Utang & Cicilan
2024-05-10,1057473,amplop,Pendidikan
2024-05-10,1159473,creambath,Kesehatan & Kebugaran
2024-05-11,1237676,paket honeymoon,Travel & Liburan
2024-05-11,1525826,belanja iseng,Lain-lain
2024-05-11,1053157,nonton bioskop,Belanja & Hiburan
2024-05-11,890029,biaya admin,Lain-lain
2024-05-12,1060573,tirai jendela,Perumahan & Akomodasi
2024-05-12,1007965,powerbank,Travel & Liburan
2024-05-12,1192354,beli sepatu,Belanja & Hiburan
2024-05-13,343861,endorse,Bisnis & Profesional
2024-05-13,1658192,bakti sosial,Donasi & Hadiah
2024-05-13,1931822,jilid skripsi,Pendidikan
2024-05-13,241847,cicilan sofa,Utang & Cicilan
2024-05-13,1740438,relawan,Donasi & Hadiah
2024-05-13,1177929,helm baru,Transportasi
2024-05-13,1899341,beras,Makanan & Minuman
2024-05-13,1331787,beli pizza,Makanan & Minuman
2024-05-13,865495,lazismu,Donasi & Hadiah
2024-05-13,1263464,property investment,Tabungan & Investasi
2024-05-13,1559602,kertas HVS,Pendidikan
2024-05-14,634139,honorarium,Bisnis & Profesional
2024-05-14,1852269,billiard,Belanja & Hiburan
2024-05-14,328491,bantuan tsunami,Donasi & Hadiah
2024-05-14,1241675,periksa dokter,Kesehatan & Kebugaran
2024-05-14,64918,tour package,Travel & Liburan
2024-05-14,1603968,naik ojek,Transportasi
2024-05-14,206560,webinar,Pendidikan
2024-05-15,1213403,cicilan kecil,Lain-lain
2024-05-15,1496903,medical check up,Kesehatan & Kebugaran
2024-05-15,485136,kartu kredit,Utang & Cicilan
2024-05-15,1265686,hosting,Bisnis & Profesional
2024-05-15,127990,pos,Lain-lain
2024-05-15,377900,fotokopi,Lain-lain
2024-05-15,968365,beli vitamin,Kesehatan & Kebugaran
2024-05-15,582172,donasi pendidikan,Donasi & Hadiah
2024-05-15,886076,cash advance,Utang & Cicilan
2024-05-15,1660214,kaos kaki,Belanja & Hiburan
2024-05-15,1339753,sarung tangan,Transportasi
2024-05-16,253791,jasa profesional,Bisnis & Profesional
2024-05-16,1446722,underwear,Belanja & Hiburan
2024-05-16,1445433,amplop,Pendidikan
2024-05-16,1337432,jilid skripsi,Pendidikan
2024-05-16,111758,sepatu gunung,Travel & Liburan
2024-05-17,539764,rumah investasi,Tabungan & Investasi
2024-05-17,505323,sertifikasi,Pendidikan
2024-05-17,1552275,pesan makanan online,Makanan & Minuman
2024-05-17,937195,ganti kunci,Perumahan & Akomodasi
2024-05-17,386648,face wash,Kesehatan & Kebugaran
2024-05-18,82560,vacuum cleaner,Perumahan & Akomodasi
2024-05-18,1381217,peer to peer lending,Tabungan & Investasi
2024-05-18,683346,asuransi kesehatan,Tabungan & Investasi
2024-05-18,115914,print tugas,Pendidikan
2024-05-18,239697,warung makan,Makanan & Minuman
2024-05-19,1625417,bayar cleaning service,Perumahan & Akomodasi
2024-05-19,988979,stabilo,Pendidikan
2024-05-19,1330444,angsuran bank,Utang & Cicilan
2024-05-19,1482927,cicilan elektronik,Utang & Cicilan
2024-05-19,1575087,webinar,Pendidikan
2024-05-20,1899574,marketing,Bisnis & Profesional
2024-05-20,348581,pengeluaran tak terduga,Lain-lain
2024-05-20,1077871,unit link,Tabungan & Investasi
2024-05-20,479529,transjakarta,Transportasi
2024-05-20,1607702,pensil,Pendidikan
2024-05-20,1750425,obat sakit kepala,Kesehatan & Kebugaran
2024-05-20,714641,crypto,Tabungan & Investasi
2024-05-21,1349649,beli buku,Belanja & Hiburan
2024-05-21,1181264,rental car,Travel & Liburan
2024-05-21,892176,bantuan tsunami,Donasi & Hadiah
2024-05-21,362590,honorarium,Bisnis & Profesional
2024-05-21,1573280,iklan,Bisnis & Profesional
2024-05-22,1703356,aksi cepat tanggap,Donasi & Hadiah
2024-05-22,811554,lip balm,Kesehatan & Kebugaran
2024-05-23,1967568,take over,Utang & Cicilan
2024-05-23,1356867,kelas aerobik,Kesehatan & Kebugaran
2024-05-23,134329,bayar kos,Perumahan & Akomodasi
2024-05-23,1518219,cargo,Lain-lain
2024-05-23,1094819,uang rokok,Lain-lain
2024-05-23,1462733,bakti sosial,Donasi & Hadiah
2024-05-23,17184,kalkulator,Pendidikan
2024-05-24,1380846,correction pen,Pendidikan
2024-05-24,882110,kamera,Travel & Liburan
2024-05-24,1406444,fax,Lain-lain
2024-05-24,44978,kredit kendaraan,Utang & Cicilan
2024-05-25,568540,aksi cepat tanggap,Donasi & Hadiah
2024-05-25,1809954,pengharum ruangan,Perumahan & Akomodasi
2024-05-25,952279,kredit kendaraan,Utang & Cicilan
2024-05-25,649723,hal tak terduga,Lain-lain
2024-05-25,661973,netflix,Belanja & Hiburan
2024-05-25,412693,billiard,Belanja & Hiburan
2024-05-25,286454,topi,Belanja & Hiburan
2024-05-26,468560,lisensi,Bisnis & Profesional
2024-05-26,1186307,pengharum ruangan,Perumahan & Akomodasi
2024-05-26,889488,tune up,Transportasi
2024-05-26,1734275,kartu kredit,Utang & Cicilan
2024-05-27,1544728,stapler,Pendidikan
2024-05-27,1184408,KTA bank,Utang & Cicilan
2024-05-27,1432768,kitabisa,Donasi & Hadiah
2024-05-27,787511,hiking gear,Belanja & Hiburan
2024-05-27,462989,charger portable,Travel & Liburan
2024-05-27,1616251,rental motor,Transportasi
2024-05-27,406984,transjakarta,Transportasi
2024-05-28,1217348,ayam goreng,Makanan & Minuman
2024-05-28,1505871,flashdisk,Pendidikan
2024-05-28,918914,instagram ads,Bisnis & Profesional
2024-05-28,1068482,teh botol,Makanan & Minuman
2024-05-29,606629,taksi online,Transportasi
2024-05-29,608204,beli sepatu,Belanja & Hiburan
2024-05-29,1018980,pos,Lain-lain
2024-05-29,1631662,beli buah,Makanan & Minuman
2024-05-29,1610233,emergency,Lain-lain
2024-05-29,1846964,tablet,Pendidikan
2024-05-29,652337,helm baru,Transportasi
2024-05-29,1785749,print,Lain-lain
2024-05-29,1297825,beli emas,Tabungan & Investasi
2024-05-30,1989772,obligasi,Tabungan & Investasi
2024-05-30,367553,setrika baju,Perumahan & Akomodasi
2024-05-30,715272,sponsor acara,Donasi & Hadiah
2024-05-30,261251,cicilan hp,Utang & Cicilan
2024-05-30,940726,permen,Lain-lain
2024-05-30,1742359,minuman ringan,Lain-lain
2024-05-30,1267798,dompet,Belanja & Hiburan
2024-05-31,312115,cek lab,Kesehatan & Kebugaran
2024-05-31,1226962,donasi online,Donasi & Hadiah
2024-05-31,724892,nonton bioskop,Belanja & Hiburan
2024-05-31,780170,minuman ringan,Lain-lain
2024-05-31,201247,meja makan,Perumahan & Akomodasi
2024-05-31,960191,renang,Belanja & Hiburan
2024-05-31,1429899,asuransi kendaraan,Tabungan & Investasi
2024-06-01,1755272,penginapan,Travel & Liburan
2024-06-01,298141,kerja sosial,Donasi & Hadiah
2024-06-01,1304774,vitamin C,Kesehatan & Kebugaran
2024-06-01,245040,rental mobil,Transportasi
2024-06-01,881131,donasi bencana,Donasi & Hadiah
2024-06-01,480898,tanah,Tabungan & Investasi
2024-06-01,282444,rontgen,Kesehatan & Kebugaran
2024-06-02,1227093,workshop,Pendidikan
2024-06-02,1111817,foto wisata,Travel & Liburan
2024-06-02,1796987,biaya bandara,Transportasi
2024-06-02,1164441,taksi online,Transportasi
2024-06-02,377081,hadiah pernikahan,Donasi & Hadiah
2024-06-02,375372,cicilan motor,Utang & Cicilan
2024-06-02,1468326,mouse komputer,Pendidikan
2024-06-02,380110,bayar tol,Transportasi
2024-06-03,723630,transjakarta,Transportasi
2024-06-03,1320493,serum wajah,Kesehatan & Kebugaran
2024-06-03,1340156,solo traveling,Travel & Liburan
2024-06-03,1272286,keperluan sehari-hari,Lain-lain
2024-06-03,1329577,sedekah,Donasi & Hadiah
2024-06-04,1444833,portfolio management,Tabungan & Investasi
2024-06-05,1543880,mutual fund,Tabungan & Investasi
2024-06-05,376502,supplier,Bisnis & Profesional
2024-06-05,788548,mega finance,Utang & Cicilan
2024-06-05,654921,berlangganan streaming,Belanja & Hiburan
2024-06-05,24513,conditioner,Kesehatan & Kebugaran
2024-06-05,1912853,dropship,Tabungan & Investasi
2024-06-05,938790,fax,Lain-lain
2024-06-06,1994827,SIUP,Bisnis & Profesional
2024-06-06,1314627,coating motor,Transportasi
2024-06-06,669122,uang rokok,Lain-lain
2024-06-06,1659813,minuman ringan,Lain-lain
2024-06-06,1508381,minyak goreng,Makanan & Minuman
2024-06-06,1620578,cicilan kulkas,Utang & Cicilan
2024-06-06,250193,uber,Transportasi
2024-06-06,1034376,beli furniture,Perumahan & Akomodasi
2024-06-06,799698,kalkulator,Pendidikan
2024-06-06,1919928,crypto,Tabungan & Investasi
2024-06-07,1643977,alat kebersihan,Perumahan & Akomodasi
2024-06-07,1775894,ganti kunci,Perumahan & Akomodasi
2024-06-07,1970892,jaket,Belanja & Hiburan
2024-06-07,1952474,beli roti,Makanan & Minuman
2024-06-07,536906,investasi jangka panjang,Tabungan & Investasi
2024-06-07,526608,workshop,Pendidikan
2024-06-07,970465,bayar listrik,Perumahan & Akomodasi
2024-06-07,1748936,tiket wisata,Travel & Liburan
2024-06-07,1325282,leasing mobil,Utang & Cicilan
2024-06-08,824423,sleeping bag,Travel & Liburan
2024-06-08,1934774,deposit apartemen,Perumahan & Akomodasi
2024-06-08,304200,promosi,Bisnis & Profesional
2024-06-09,949774,telur ayam,Makanan & Minuman
2024-06-09,1791503,tas travel,Travel & Liburan
2024-06-09,291012,tiket wisata,Travel & Liburan
2024-06-09,1440104,mi instan,Makanan & Minuman
2024-06-09,1904134,tunjangan,Bisnis & Profesional
2024-06-09,825793,resort,Travel & Liburan
2024-06-09,216610,bakti sosial,Donasi & Hadiah
2024-06-10,173005,bubble tea,Makanan & Minuman
2024-06-10,1480430,kredit plus,Utang & Cicilan
2024-06-10,1518296,correction pen,Pendidikan
2024-06-10,1006282,investasi pendidikan,Tabungan & Investasi
2024-06-10,6417,cicilan springbed,Utang & Cicilan
2024-06-10,1509292,kertas foto,Pendidikan
2024-06-10,1443530,pinjaman online,Utang & Cicilan
2024-06-10,934063,foto wisata,Travel & Liburan
2024-06-10,1173827,seminar,Pendidikan
2024-06-10,1501452,serum wajah,Kesehatan & Kebugaran
2024-06-10,1132717,snorkeling,Belanja & Hiburan
2024-06-11,948864,keperluan rumah,Lain-lain
2024-06-11,1930052,kertas HVS,Pendidikan
2024-06-11,1493074,beli furniture,Perumahan & Akomodasi
2024-06-11,72045,sarung tangan,Transportasi
2024-06-12,1255760,izin usaha,Bisnis & Profesional
2024-06-12,807248,tidak terkategori,Lain-lain
2024-06-12,1517315,printer,Pendidikan
2024-06-12,1915981,dispenser air,Perumahan & Akomodasi
2024-06-12,1994592,ganti aki,Transportasi
2024-06-12,803190,tabungan rumah,Tabungan & Investasi
2024-06-12,66114,youtube premium,Belanja & Hiburan
2024-06-12,1872134,makan malam,Makanan & Minuman
2024-06-12,827682,gado-gado,Makanan & Minuman
2024-06-13,1459739,materai,Pendidikan
2024-06-13,1903564,billiard,Belanja & Hiburan
2024-06-13,1045931,gado-gado,Makanan & Minuman
2024-06-13,1080089,cuci motor,Transportasi
2024-06-13,330111,pengharum ruangan,Perumahan & Akomodasi
2024-06-13,603205,pengeluaran rutin,Lain-lain
2024-06-13,512138,dokumentasi,Travel & Liburan
2024-06-13,500200,renang,Belanja & Hiburan
2024-06-13,670183,WOM finance,Utang & Cicilan
2024-06-14,52072,pajak,Bisnis & Profesional
2024-06-14,989068,jaket,Belanja & Hiburan
2024-06-14,1621845,beli es krim,Makanan & Minuman
2024-06-15,1701687,balancing,Transportasi
2024-06-15,1364552,jajanan,Lain-lain
2024-06-15,1802492,hadiah idul adha,Donasi & Hadiah
2024-06-16,1711700,food court,Makanan & Minuman
2024-06-16,264091,pos,Lain-lain
2024-06-16,931697,hadiah baby shower,Donasi & Hadiah
2024-06-17,1087117,pengeluaran spontan,Lain-lain
2024-06-17,334470,adopsi anak,Donasi & Hadiah
2024-06-17,1946282,biaya admin,Utang & Cicilan
2024-06-17,1606543,hard disk,Pendidikan
2024-06-17,136793,correction pen,Pendidikan
2024-06-17,518644,keperluan mendadak,Lain-lain
2024-06-18,1575678,renang,Belanja & Hiburan
2024-06-18,96629,snack kecil,Lain-lain
2024-06-18,1316987,beli susu,Makanan & Minuman
2024-06-18,940792,hostel,Travel & Liburan
2024-06-18,1084071,yoga class,Kesehatan & Kebugaran
2024-06-18,821979,kitabisa,Donasi & Hadiah
2024-06-19,540017,print tugas,Pendidikan
2024-06-19,1088474,underwear,Belanja & Hiburan
2024-06-20,1728149,distributor,Bisnis & Profesional
2024-06-20,269631,vitamin C,Kesehatan & Kebugaran
2024-06-20,889613,konsultan,Bisnis & Profesional
2024-06-20,1545066,deodorant,Kesehatan & Kebugaran
2024-06-20,1834645,sleeping bag,Travel & Liburan
2024-06-20,1962705,beli kopi,Makanan & Minuman
2024-06-20,1580607,kamera,Travel & Liburan
2024-06-20,1079790,telur ayam,Makanan & Minuman
2024-06-21,1562173,BCA finance,Utang & Cicilan
2024-06-21,611775,stabilo,Pendidikan
2024-06-21,1031717,hadiah anniversary,Donasi & Hadiah
2024-06-21,422514,sofa ruang tamu,Perumahan & Akomodasi
2024-06-21,1730058,keperluan sehari-hari,Lain-lain
2024-06-21,893673,masker wajah,Kesehatan & Kebugaran
2024-06-21,750713,pesan makanan online,Makanan & Minuman
2024-06-22,600143,distributor,Bisnis & Profesional
2024-06-22,759429,stok barang,Bisnis & Profesional
2024-06-22,1381402,sedekah,Donasi & Hadiah
2024-06-22,687184,soto ayam,Makanan & Minuman
2024-06-23,1540083,crowdfunding,Tabungan & Investasi
2024-06-23,1272603,koran,Belanja & Hiburan
2024-06-23,1720051,charity,Donasi & Hadiah
2024-06-23,1798073,fundraising,Donasi & Hadiah
2024-06-23,34601,hadiah graduation,Donasi & Hadiah
2024-06-24,970031,trademark,Bisnis & Profesional
2024-06-24,377529,sapu dan pel,Perumahan & Akomodasi
2024-06-24,1263012,spotify premium,Belanja & Hiburan
2024-06-24,525800,setor tabungan,Tabungan & Investasi
2024-06-25,1488990,teh botol,Makanan & Minuman
2024-06-25,40000,kartu kredit,Utang & Cicilan
2024-06-25,792211,seminar bisnis,Bisnis & Profesional
2024-06-26,1031853,tour package,Travel & Liburan
2024-06-26,222168,aneka ragam,Lain-lain
2024-06-26,168356,fee,Bisnis & Profesional
2024-06-26,1376522,beli susu,Makanan & Minuman
2024-06-27,636137,crowdfunding sosial,Donasi & Hadiah
2024-06-27,270831,beli buku,Belanja & Hiburan
2024-06-27,475268,mouse komputer,Pendidikan
2024-06-27,699135,tour package,Travel & Liburan
2024-06-27,771082,dana darurat,Tabungan & Investasi
2024-06-27,1469324,cicilan laptop,Utang & Cicilan
2024-06-27,686763,koran,Belanja & Hiburan
2024-06-27,1387349,hadiah valentine,Donasi & Hadiah
2024-06-28,1463336,NPWP,Bisnis & Profesional
2024-06-28,900904,upah,Bisnis & Profesional
2024-06-28,1489575,bayar kos,Perumahan & Akomodasi
2024-06-28,194283,cicilan rumah,Utang & Cicilan
2024-06-28,1544299,dropship,Tabungan & Investasi
2024-06-28,925591,copyright,Bisnis & Profesional
2024-06-28,1651146,sofa ruang tamu,Perumahan & Akomodasi
2024-06-28,926646,kelas aerobik,Kesehatan & Kebugaran
2024-06-28,273952,gayung mandi,Perumahan & Akomodasi
2024-06-28,381602,rumah investasi,Tabungan & Investasi
2024-06-28,977347,tiket konser,Belanja & Hiburan
2024-06-29,979231,kebutuhan harian,Lain-lain
2024-06-29,1657473,beli susu,Makanan & Minuman
2024-06-29,810649,penginapan,Travel & Liburan
2024-06-29,1022247,naik ojek,Transportasi
2024-06-29,1520137,stok barang,Bisnis & Profesional
2024-06-29,49027,spotify premium,Belanja & Hiburan
2024-06-29,1481493,jilid skripsi,Pendidikan
2024-06-30,1161230,mandiri finance,Utang & Cicilan
2024-06-30,126663,aplikasi,Pendidikan
2024-06-30,962440,kitabisa,Donasi & Hadiah
2024-06-30,760370,mandiri finance,Utang & Cicilan
2024-06-30,266648,pengeluaran tak terduga,Lain-lain
2024-07-01,1114063,gopro,Travel & Liburan
2024-07-01,746422,take over,Utang & Cicilan
2024-07-01,232395,copyright,Bisnis & Profesional
2024-07-01,192041,gunting rambut,Kesehatan & Kebugaran
2024-07-02,1104715,service charge,Perumahan & Akomodasi
2024-07-02,875705,souvenir,Travel & Liburan
2024-07-02,1864995,gayung mandi,Perumahan & Akomodasi
2024-07-02,1061433,kaos kaki,Belanja & Hiburan
2024-07-02,632261,cicilan AC,Utang & Cicilan
2024-07-03,170608,metro mini,Transportasi
2024-07-03,1158641,business meeting,Bisnis & Profesional
2024-07-03,1150898,baznas,Donasi & Hadiah
2024-07-03,27183,webcam,Pendidikan
2024-07-03,1479993,rendang,Makanan & Minuman
2024-07-03,65341,peer to peer lending,Tabungan & Investasi
2024-07-03,521229,deposito,Tabungan & Investasi
2024-07-03,1654949,beli buah,Makanan & Minuman
2024-07-03,942915,gado-gado,Makanan & Minuman
2024-07-04,1383551,ganti aki,Transportasi
2024-07-04,992299,spotify premium,Belanja & Hiburan
2024-07-04,1639025,bantuan tsunami,Donasi & Hadiah
2024-07-04,1718898,personal trainer,Kesehatan & Kebugaran
2024-07-04,630002,beli kopi,Makanan & Minuman
2024-07-04,1356817,investasi pendidikan,Tabungan & Investasi
2024-07-04,1323915,pasta gigi,Kesehatan & Kebugaran
2024-07-05,1059581,bensin motor,Transportasi
2024-07-05,1076235,dompet dhuafa,Donasi & Hadiah
2024-07-05,1671097,coating motor,Transportasi
2024-07-05,232949,tiket gunung,Travel & Liburan
